PharmGKB Accession Id	Name	Generic Names	Trade Names	RxNorm Identifiers
PA164749213	acetohydroxamic acid	"""AHA"", ""Acethydroxamsaure"", ""Acetic acid, oxime"", ""Acetohydroxamate"", ""Acetohydroximic acid"", ""Acetyl hydroxyamino"", ""Acetylhydroxamic acid"", ""Cetohyroxamic acid"", ""Methylhydroxamic acid"", ""N-Hydroxyacetamide"""	Lithostat	16728
PA164781360	acetophenazine		Tindal	16735
PA448031	acetylcholine	acetylcholine chloride		194
PA448033	acetylcysteine	N-acetylcysteine, NAC	ACC, Acetadote, Fluimucil, Lysox, Mucolysin, Mucomyst, Parvolex	197
PA164746246	acetyldigitoxin	3'''-o-acetyldigitoxin, acetyldiginatin, acetylgitoxin, alpha-acetyldigitoxin, alpha-monoacetyldigitoxin, desglucolanatoside a	Acigoxin, Acylanid, Crystodigin	132871
PA164712311	Acidifiers			
PA164712310	Acid preparations			
PA448039	acitretin		Acetretin, Neotigason, Soriatane	16818
PA166360341	acoramidis	3-[3-(3,5-dimethyl-1H-pyrazol-4-yl)propoxy]-4-fluorobenzoic acid		
PA164712312	Acridine derivatives			
PA166345481	act-1004-1239	N-[(3S,4S)-1-(cyclopropylmethyl)-3-[(1-pyrimidin-2-ylcyclopropyl)carbamoyl]piperidin-4-yl]-5-(2,4-difluorophenyl)-1,2-oxazole-3-carboxamide		
PA164712313	Acth			
PA164712314	Actinomycines			
PA448045	acyclovir	9-Hyroxyethoxymethylguanine, AC2, Aciclovier, Aciclovir Sodium, Acycloguanosine, Acyclovir, Acyclovir Sodium, Wellcome-248u, aciclovir	Alti-Acyclovir, Avirax, Vipral, Virorax, Zovir, Zovirax, Zovirax Injection (Zovirax sodium), Zovirax topical	
PA166246421	adagrasib	"""2-[(2S)-4-[7-(8-chloronaphthalen-1-yl)-2-[[(2S)-1-methylpyrrolidin-2-yl]methoxy]-6,8-dihydro-5H-pyrido[3,4-d]pyrimidin-4-yl]-1-(2-fluoroprop-2-enoyl)piperazin-2-yl]acetonitrile"", ""mrtx849"""		
PA10004	adalimumab	Ig gamma-1 chain C region	Humira, Humira, Humira Pen	327361
PA164712315	Adamantane derivatives			
PA448047	adapalene	Adapaleno [INN-Spanish], Adapalenum [INN-Latin]	Adaferin, Differin	60223
PA166306541	adavosertib	"""1-[6-(2-hydroxypropan-2-yl)pyridin-2-yl]-6-[4-(4-methylpiperazin-1-yl)anilino]-2-prop-2-enylpyrazolo[3,4-d]pyrimidin-3-one"", ""mk-1775"""		
PA10005	adefovir dipivoxil	ADV, Adefovir, Adefovir pivoxil, Adefovirdipivoxl, GS-840, PMEA, adefovir dipivoxil, bis-POM PMEA	Hepsera, Preveon	141400
PA448048	adenine	1H-Purin-6-amine, 6-Aminopurine, Adenin, Adeninimine, Vitamin B4	Leuco-4, Pedatisectine B	290
PA448049	adenosine	2'-Deoxyadenosine, Adenine Deoxy Nucleoside, Adenine Deoxyribonucleoside, Adenine Deoxyribose, Adenine Nucleoside, Adenine Riboside, Adenyldeoxyriboside, Deoxyadenosine, Desoxyadenosine, MEDR-640, USAF CB-10, adenosine	Adenocard, Adenocor, Adenoscan, Adenosin, Adensoine, Boniton, Myocol, Nucleocardyl, Pallacor, Sandesin	296
PA166178281	adenosine diphosphate			
PA164744376	adenosine monophosphate	5'-AMP, 5'-Adenosine monophosphate, 5'-Adenylic acid, AMP, Adenosine 5'-(dihydrogen phosphate), Adenosine 5'-monophosphate, Adenosine 5'-phosphate, Adenosine 5'-phosphoric acid, Adenosine phosphate, Adenosine-5'-Monophosphate, Adenosine-5'-monophosphoric acid, Adenosine-5-monophosphoric acid, Adenylate, Adenylic acid, Phosphentaside	Adenovite, Cardiomone, Lycedan, My-B-Den, Phosaden, Phosphaden	309
PA164743471	adenosine triphosphate	"""5'-ATP"", ""ATP"", ""Adenosine 5'-triphosphate"", ""Adenosine 5'-triphosphoric acid"", ""Adenosine, 5'-(tetrahydrogen triphosphate)"", ""Adenosine-5'-triphosphate"", ""Adenylpyrophosphoric acid"", ""Triphosphoric acid adenosine ester"""	Adephos, Adetol, Adynol, Atipi, Atriphos, Cardenosine, Fosfobion, Glucobasin, Myotriphos, Phosphobion, Striadyne, Triadenyl, Triphosphaden	318
PA164783813	adinazolam	Adinazolamum [INN-Latin]	Deracyn	
PA164712316	Adrenergic and dopaminergic agents			
PA164712318	Adrenergics and other drugs for obstructive airway diseases			
PA164712317	Adrenergics For Systemic Use			
PA10405	adrenergics, inhalants			
PA166350685	aducanumab	aducanumab-avwa		2557217, 2557218, 2557225
PA165981154	afatinib	BIBW 2992	Giotrif, Tomtovok, Tovok	1430438
PA165981139	afatinib dimaleate	afatinib maleate (jan), d09733		
PA452609	aflatoxin b1			2282017
PA166118342	aflibercept			1232150
PA164746527	agalsidase beta	Agalsidase alfa, Alpha-D- galactoside galactohydrolase, Alpha-D-galactosidase A, Alpha-galactosidase A precursor, Melibiase, agalsidase beta	Fabrazyme, Fabrazyme, Replagal	338817
PA164712320	Agents Acting On The Renin-angiotensin System	RAAS acting drugs		
PA164712321	Agents Against Amoebiasis And Other Protozoal Diseases			
PA164712322	Agents Against Leishmaniasis And Trypanosomiasis			
PA164712323	Agents For Treatment Of Hemorrhoids And			
PA165958363	agomelatine	s-20098, s20098	Melitor, Valdoxan	
PA164776839	ajmaline	Ajmalin		423
PA164746058	albendazole		Albenza, Eskazole, Valbazen, Zentel	430
PA166285061	albiglutide	"""(4S)-5-[[2-[[(2S,3S)-1-[[(2S)-1-[[(2S,3S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[2-[[(2S)-5-amino-1-[[(2R)-1-[[(2R)-1-[[(2S)-6-amino-1-[[(2S)-1-[[(2S)-1-[[(2S,3R)-1-[[(2R)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-6-amino-1-[[2-[[(2S)-1-amino-5-carbamimidamido-1-oxopentan-2-yl]amino]-2-oxoethyl]amino]-1-oxohexan-2-yl]amino]-3-methyl-1-oxobutan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]amino]-3-(1H-indol-3-yl)-1-oxopropan-2-yl]amino]-1-oxopropan-2-yl]amino]-3-methyl-1-oxopentan-2-yl]amino]-1-oxo-3-phenylpropan-2-yl]amino]-4-carboxy-1-oxobutan-2-yl]amino]-1-oxohexan-2-yl]amino]-1-oxopropan-2-yl]amino]-1-oxopropan-2-yl]amino]-1,5-dioxopentan-2-yl]amino]-2-oxoethyl]amino]-4-carboxy-1-oxobutan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]amino]-3-(4-hydroxyphenyl)-1-oxopropan-2-yl]amino]-3-hydroxy-1-oxopropan-2-yl]amino]-3-hydroxy-1-oxopropan-2-yl]amino]-3-methyl-1-oxobutan-2-yl]amino]-3-carboxy-1-oxopropan-2-yl]amino]-3-hydroxy-1-oxopropan-2-yl]amino]-3-hydroxy-1-oxobutan-2-yl]amino]-1-oxo-3-phenylpropan-2-yl]amino]-3-hydroxy-1-oxobutan-2-yl]amino]-2-oxoethyl]amino]-4-[[2-[[(2S)-2-amino-3-(1H-imidazol-5-yl)propanoyl]amino]acetyl]amino]-5-oxopentanoic acid"", ""glucagon-like peptide-1 (GLP-1) receptor agonist"""		
PA166411921	albuvirtide	labuvirtide		
PA165958399	alcaftadine		Lastacaft	1000082
PA164747650	alclometasone	Alclometasone dipropionate	Aclovate	108088
PA164712324	Aldehydes and derivatives			
PA448081	aldesleukin	IL-2, Interleukin-2 precursor, T-cell growth factor, TCGF, aldesleukin	Proleukin, Proleukin	70223
PA164712325	Aldose reductase inhibitors			
PA164712326	Aldosterone antagonists			
PA166160050	alectinib			1727455
PA164748040	alefacept	ASP0485, Amevive, alefacept	Amevive	299635
PA164783958	alemtuzumab	alemtuzumab	Campath, Campath, MabCampath	117055
PA448082	alendronate	Acide Alendronique [INN-French], Acido Alendronico [INN-Spanish], Acidum Alendronicum [INN-Latin], Alendronate Sodium, Alendronic acid	Adronat, Alendros, Arendal, Fosamax, Fosamax Plus D, Onclast	46041
PA164746469	alfacalcidol	1-hydroxycholecalciferol, 1alpha-hydroxycholecalciferol, 1alpha-hydroxyvitamin D3	Alsiodol, One Alpha	12062
PA448084	alfentanil	Alfentanilum [INN-Latin], Alfentanyl	Alfenta	480
PA164774795	alfuzosin	Alfusosine, alfuzosin	Uroxatral, Xatral	17300
PA164748093	alglucerase	Acid beta-glucosidase, Beta-glucocerebrosidase, D-glucosyl-N-acylsphingosine glucohydrolase, Glucosylceramidase precursor	Ceredase, Ceredase	46049
PA164754753	alglucosidase alfa		Myozyme	629565
PA164712327	Alimentary Tract And Metabolism			
PA166159961	alirocumab		Praluent	1659152
PA166165015	alisertib		MLN8237	
PA143487910	aliskiren	Rasilez, SPP 100, aliskiren	Tekturna	325646
PA164746900	alitretinoin	9-cis-retinoic acid, ALRT-1057, BAL4079, Retinoic Acid, alitretinoin	Panretin, Panretin Gel, Panretyn, Panrexin, Renova, Retin-A, Retin-A Micro	81864
PA164744894	alizapride	Alizaprida [inn-spanish], Alizapridum [inn-latin]	Limican, Liticum	17311
PA164712328	Alkaloids, excl. rauwolfia			
PA164712329	Alkaloids, excl. rauwolfia, in combination with diuretics			
PA164712331	Alkylating Agents			
PA164712330	Alkyl sulfonates			
PA164712336	Allergen extracts			
PA164712337	Allergens	Allergens		
PA142320763	allopregnanolone		Brexanolone	
PA448320	allopurinol	Allopurinol Sodium, Allopurinolum [INN-Latin], Alopurinol [INN-Spanish]	7HP, Adenock, Ailural, Allo-Puren, Allohexal, Allopur, Allozym, Allural, Aloprim, Aloral, Alositol, Aluline, Anoprolin, Anzief, Apo-Allopurinol, Apulonga, Apurin, Apurol, Atisuril, Bleminol, Bloxanth, Caplenal, Cellidrin, Cosuric, Dabrosin, Dabroson, Dura Al, Embarin, Epidropal, Epuric, Foligan, Geapur, Gichtex, Gotax, HPP, Hamarin, Hexanuret, Ketanrift, Ketobun-A, Ledopur, Lopurin, Lysuron, Milurit, Miniplanor, Monarch, Nektrohan, Progout, Purinol, Remid, Riball, Sigapurol, Suspendol, Takanarumin, Urbol, Uricemil, Uriprim, Uripurinol, Uritas, Urobenyl, Urolit, Urosin, Urtias, Urtias 100, Xanturat, Zyloprim, Zyloric	519
PA164712332	All Other Non-therapeutic Products	All Other Non-therapeutic Products		
PA164712334	All Other Therapeutic Products	All Other Therapeutic Products		
PA164745307	allylestrenol		Gestanin, Gestanol, Gestanon, Gestormone, Orageston, Organon, Perselin, Turinal	525
PA164750492	almitrine	Almitrine bismesylate, Almitrine dimesylate, Almitrine mesylate	Doxil, Duxil, Vectarion	528
PA133888888	almokalant			
PA10246	almotriptan	almotriptan	Almogran, Axert	279645
PA166368301	alogliptin	"""2-[[6-[(3R)-3-aminopiperidin-1-yl]-3-methyl-2,4-dioxopyrimidin-1-yl]methyl]benzonitrile"", ""Nesina"""		1368001
PA164745502	alosetron	Alosetron HCl	Lotronex	85248
PA452626	alox5-pathway modifiers			
PA166184523	alpelisib	"""(2S)-1-N-[4-methyl-5-[2-(1,1,1-trifluoro-2-methylpropan-2-yl)pyridin-4-yl]-1,3-thiazol-2-yl]pyrrolidine-1,2-dicarboxamide"", ""(2S)-N1-[4-methyl-5-[2-(1,1,1-trifluoro-2-methylpropan-2-yl)-4-pyridinyl]-2-thiazolyl]pyrrolidine-1,2-dicarboxamide"""	Piqray	
PA10308	alpha-1-proteinase inhibitor	Alpha 1-antitrypsin, Alpha-1 protease inhibitor, Alpha-1-antiproteinase, Alpha-1-antitrypsin precursor	Aralast, Prolastin	542373
PA164712344	Alpha-adrenoreceptor antagonists			
PA164712346	Alpha-adrenoreceptor antagonists and diuretics			
PA164712343	Alpha- and beta-adrenoreceptor agonists			
PA164712339	Alpha and beta blocking agents			
PA164712340	Alpha and beta blocking agents and other diuretics			
PA164712341	Alpha and beta blocking agents and thiazides			
PA164712342	Alpha glucosidase inhibitors			
PA449384	alpha-linolenic acid	"""(9Z,12Z,15Z)-Octadecatrienoic acid"", ""9,12,15-Octadecatrienoic acid"", ""ALA"", ""alpha-Linolenate"", ""linolenate"""		
PA147358765	alpha-methyl-para-tyrosine	Metyrosine		
PA448333	alprazolam	TUS-1, alprazolam	Alplax, Alpronax, Alviz, Bestrol, Cassadan, Constan, D 65MT, Esparon, Frontal, Intensol, Niravam, Restyl, Solanax, Tafil, Tranax, Trankimazin, Tranquinal, Xanax, Xanax XR, Xanor	596
PA164750541	alprenolol	Alfeprol [Russian], Alpheprol, Alprenololum [INN-Latin]	Apllobal, Aptine, Aptol Duriles, Gubernal, Regletin, Yobir	597
PA448334	alprostadil	alprostadil	Alista, Alprostadil Prostoglandin E1, Alprox-TD, Befar, Caverject, Edex, Femprox, Muse, PGE1, Prink, Prostaglandin E1, Prostin VR, Prostin VR Pediatric, Topiglan, l-Prostaglandin E1	598
PA164746411	alseroxylon		Rautensin, Rauwiloid	599
PA164776730	alteplase	Tissue-type plasminogen activator precursor, t-PA, t-plasminogen activator, tPA	Activase	8410
PA164743136	altretamine	Altretaminum [INN-Latin], HEXAMETHYLMELAMINE, HMM, HTM, HXM	Hemel, Hexalen, Hexastat	5296
PA164760864	aluminium			
PA164712347	Aluminium agents			
PA164712348	Aluminium compounds			
PA164764505	alverine	"""Alverina [inn-spanish]"", ""Alverine citrate"", ""Alverinum [inn-latin]"", ""Bis(gamma-phenylpropyl)ethylamine"", ""Di(phenylpropyl)ethylamine"", ""N,N-Bis(3-phenylpropyl)ethylamine"", ""N-Ethyl-3,3'-diphenyldipropylamine"", ""N-Ethyl-3-phenyl-N-(3-phenylpropyl)-1-propanamine"", ""N-Ethyl-N-(3-phenylpropyl)benzenepropanamine"", ""N-Ethyl-bis(3-phenylpropyl)amin"", ""Phenopropamine"", ""Phenpropamine"""	Antispasmin, Dipropylin, Dipropyline, Gamatran citrate, Profenil, Sestron, Spacolin, Spasmaverine	17627
PA165291491	alvespimycin	17-(dimethylaminoethylamino)-17-demethoxygeldanamycin		
PA164754864	alvimopan	ADL 8-2698, alvimopan	Entereg	480639
PA448360	amantadine	1-aminoadamantane, Adamantamine, Adamantanamine, Adamantylamine, Amantadine Base, Amantadine HCL, Amantidine, Aminoadamantane, amantadine hydrochloride	Endantadine, Gen-Amantadine, Mantadine, Pk-Merz, Symadine, Symmetrel	620
PA164764601	ambenonium	Ambenonum	Mytelase	623
PA165860521	ambrisentan			358274
PA164746074	amcinonide		Cyclocort	17652
PA164754807	amdinocillin	Amdinocillin mecillinam, mecillinam, penicillin hx	Coactin	626
PA166049186	amfenac			
PA164712349	Amides			
PA166185150	amifampridine			2106338
PA166182002	amifampridine phosphate			2106337
PA448365	amifostine	Amifostine Ethiofos, Aminopropylaminoethyl Thiophosphate, Apaetp, Ethiofos, Gammaphos, SAPEP, WR-1065, amifostine	Ethyol	4126
PA164744372	amikacin	ANTIBIOTIC BB-K8, Amikacin Base, Amikacin Dihydrate, Amikacin Sulfate, Amikacina [INN-Spanish], Amikacine [INN-French], Amikacinum [INN-Latin], BB-K8, amikacin	Amicacin, Amiglyde-V, Amikavet, Amikin, Briclin	641
PA448368	amiloride	AMR, Amilorida [INN-Spanish], Amiloride HCL, Amiloride hydrochloride, Amiloride hydrochloride hydrate, Amiloridum [INN-Latin], Amyloride	Amipramidin, Amipramizid, Amipramizide, Amiprazidine, Guanamprazin, Guanamprazine, Midamor	644
PA448372	amino acids			658
PA164712351	Amino acids and derivatives			
PA164712353	Amino acids/carbohydrates/minerals/vitamins, combinations			
PA164712352	Amino acids, incl. combinations with polypeptides			
PA164712354	Aminoalkyl ethers			
PA10247	aminobenzoic acid			
PA164774947	aminocaproic acid	6-aminohexanoic acid, ACS, Aminocaproate, Aminocaproic, aminocaproic acid, e-aminocaproic acid, epsilon-ahx, epsilon-amino caproic acid	Acepramin, Acepramine, Afibrin, Amicar, Amikar, Aminokapron, Atsemin, Caplamin, Capracid, Capramol, Capranol, Caprocid, Caprolisin, EACA, EACS, Epsamon, Epsicapron, Epsikapron, Epsilcapramin, Epsilcapramine, Hemocaprol, Hemopar, Hepin, Ipsilon, Respramin	
PA448375	aminoglutethimide	Dl-Aminoglutethimide, P-Aminoglutethimide	Cytadren, Elipten, Orimeten	677
PA452167	aminoglycoside antibacterials			
PA134711723	aminohippurate	Aminohippurate Sodium, Aminohippuric acid, Aminohippuric acid Sodium salt, PAH, Sodium p-aminohippurate, Sodium para-Aminohippurate, para-Aminohippurate		
PA10015	aminolevulinic acid	5-aminolevulinic acid, ALA, Aminolevulinate, delta-Aminolevulinic acid	Aladerm, Kerastick, Levulan, Levulan Kerastick	683
PA164748135	aminophenazone	4-Dimethylaminoantipyrine, Aminopyrine, Dipyrine		
PA164781029	aminophylline	Aminophyllin, Aminophylline Anhydrous, Aminophylline Dihydrate, Aminophylline Dye Free	Aminocardol, Aminodur, Ammophyllin, Cardiofilina, Cardiomin, Cardophylin, Cardophyllin, Carena, Cariomin, Diaphylline, Diophllin, Diuxanthine, Dobo, Dura-Tab S.M. Aminophylline, Ethophylline, Etilen-Xantisan Tabl., Eurphyllin, Euufillin, Genophyllin, Grifomin, Inophylline, Lasodex, Linampheta, Lixaminol, Metaphyllin, Metaphylline, Methophylline, Minaphil, Miofilin, Neophyiline, Norofilina, Peterphyllin, Phylcardin, Phyllindon, Phyllocontin, Phyllocontin-350, Rectalad Aminophylline, Rectalad-Aminophylline, Somophyllin, Somophyllin O, Somophyllin-O, Stenovasan, Syntophyllin, Theodrox, Theolamine, Theolone, Theophyldine, Theophyline Ethylenediamine, Theophyllamine, Theophyllaminum, Theophyllin Aethylendiamin, Theophyllin Ethylenediamine, Theophylline Ethylenediamine, Thephyldine, Truphylline, Variaphylline, Vasofilina	689
PA165109541	aminopterin	4-Aminofolic acid, 4-Aminopteroyl-L-glutamic acid, Aminopterin sodium, Aminopteroylglutamic acid		
PA164712355	Aminoquinolines			
PA448382	aminosalicylic acid	4-ASA, 4-aminosalicylic acid, APAS, Amino-PAS, Aminosalicylate Sodium, P-Aminosalicylic Acid, PAS, PASK, Para-Amino Salicylic Acid, Para-aminosalicylic acid	Aminopar, Aminox, Apacil, Deapasil, Entepas, Ferrosan, Gabbropas, Hellipidyl, Kyselina P-Aminosalicylova, Neopasalate, Osacyl, PAS-C, Pamacyl, Pamisyl, Para-Pas, Paramycin, Parasal, Parasalicil, Parasalindon, Pasa, Pasalon, Pasara, Pascorbic, Pasdium, Pasem, Paser, Pasmed, Pasnodia, Pasolac, Propasa, Rezipas, Sanipirol-4, Sanipriol-4	7833
PA164712356	Aminosalicylic acid and derivatives			
PA164712357	Aminosalicylic acid and similar agents			
